job_title,company_name,job_location,job_description,ID
Business Transformation - Team Lead,Capgemini,"Bengaluru, Karnataka","Bengaluru, KarnatakaJob Responsibilities
Become part of Global COO’s internal Business services - business analytics team.
Interface with various stakeholders like Portfolio controllers, entity controllers, central finance team, HR and operations department etc for timely data collection.
Track key performance indicators (KPIs) and present them in an understandable manner.
Conduct thorough business performance analysis to enable management to take actionable, data-driven decisions.
Perform detailed gap analysis between Budget Vs Actual Vs Forecast.
Prepare reports and presentation decks from time to time as per management’s requirement.
Develop weekly, monthly, quarterly and yearly management reports.",191
Sr. Sales Analytics Analyst,McAfee,"Bengaluru, Karnataka","Bengaluru, Karnataka8+ years experienceOverall objective is to analyze the sales performance, identify key drivers and metrics of sales growth
Overall sales analytics and management of the sales analysis to ensure specified sales execution and growth achievement objectives
Responsibilities
Responsible for the overall analytics of sales performance
Projects include evaluation of sales goals, sales performance as well as preparing sales forecasts
Collaborates with other company departments, such as product operations / IT to maintain organization-wide data standards
Create executive-level presentations and present sales analytical findings
Drives the development of analytic sales plans supporting sales channel leadership
Ability to deconstruct business risk through analytics, diagnose source issues, define solutions, and ensure action is taken
Understanding of predictive modeling for pipeline, bookings, guided selling and lead prioritization
Qualifications
Work experience
Preferably 8 or more years of experience in financial IT and/or operational analysis
Working experience in software, data mining, business analytics or similar is also preferred
Education
Required education: Bachelor’s degree equivalent with concentration in sales/data analysis, statistics, finance, business or similar discipline
Preferred education: Master’s degree equivalent with a concentration in sales/data analysis, statistics, finance, business or similar discipline
Skills & Competencies required
Good analytical skills and ability to gain insights from sales data
Solid experience in data analysis and reporting
Experience using sales-related software applications (SAP, Anaplan, SFDC etc.)
Knowledge of Excel, R and SQL; familiarity with business intelligence tools (e.g. Tableau, SAS)
Shift:
Shift 1 (India)
Primary Location:
India, Bangalore
Posting Statement:
McAfee prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status.",192
Sr. Business Analytics II,American Express,"Gurgaon, Haryana","Gurgaon, HaryanaThis is a Band 28 role:
American Express is a global services company and the world’s largest card issuer. Our direct relationships with many millions of consumers, businesses and merchants worldwide - combined with our leading edge marketing, information management and rewards capabilities - enable us to offer an array of valuable services that enrich lives, build business success, encourage financial responsibility and create communities of people with common interests.
American Express for 9th consecutive year has been voted among India’s top 10 workplaces by the Great Place to Work institute. In recognition of our consistent performance, we were nominated to the Great Place to Work “Hall of Fame”.
At American Express, we serve customers, not transactions. We’re widely known for providing superior customer service and have been recognized for a number of achievements including being ranked highest in customer satisfaction within the credit card industry by J.D. Power for seven consecutive years.
A career at American Express is rich in experience and offers opportunities to build lasting relationships with our customers.
Come join us and realize your potential.
Job Description:
Function Description: To carryout Regulatory Self Testing for Global markets for GMNS OE business as per the compliance annual plan simultaneously adhering to the regulatory guidelines
Purpose of the Role: To perform Regulatory Business Self Testing by partnering with GMNS Operational Excellence team to deliver on the year on year goals
Responsibilities:Conducting testing for all regions and sound knowledge of Country specific nuancesManaging Timelines on the BAU testing, month on month submission of testsConsistently understand and interpret testing requirementsBe able to provide sound judgment when undertaking testing and also be able to interpret the results and provide analysis
Be able to support communication to the regional testing and business teamsDevising organized structure for keeping information flow, repositories of important notes and documents and exceptions. Track deliverables, deadlines and reminders
Qualifications
QUALIFICATIONS:
Critical Factors to Success:Proven robust problem solving skillsMultitasking and Time managementMobilize cross functional teams and leverage authority in a highly matrixed organization that has a presence across the globeKnowledge of Amex business & systemsAbility to build relationshipsKnowledge of foreign Language (e.g. Spanish, Italian, French etc.) is an advantage but NOT MANDATORY
Past Experience: Should have exposure to Risk and Compliance
Academic Background: Graduate/Post Graduation with at least 0-2 years of experience in Regulatory environment
Functional Skills/Capabilities:Excellent problem solving skills (issue identification, problem structuring, analysis, development of recommendationsDemonstrated analytical skills including the ability to think through all aspects of problems and generate possible courses of action
Technical Skills/Capabilities: MS-Excel, MS-Access & PowerPoint
Behavioral Skills/Capabilities:Enterprise Leadership BehaviorsSet The Agenda: Define What Winning Looks Like, Put Enterprise Thinking First, Lead with an External PerspectiveBring Others With You: Build the Best Team, Seek & Provide Coaching Feedback, Make Collaboration EssentialDo It The Right Way: Communicate Frequently, Candidly & Clearly, Make Decisions Quickly & Effectively, Live the Blue Box Values, Great Leadership Demands Courage
ReqID: 19011555
Schedule (Full-Time/Part-Time): Full-time
Date Posted: Jun 18, 2019, 2:33:42 AM",193
"Consultant, Data Analytics",Northern Trust Corp.,"Bengaluru, Karnataka","Bengaluru, Karnataka2+ years experienceCONSULTANT, DATA ANALYTICS, AUDIT DATA ANALYTICS ENGINEER
Summary
Founded in Chicago in 1889, Northern Trust is one of the world’s leading financial institutions. We specialize in providing asset servicing solutions and asset management to both institutional and personal clients. The delivery of products and services to this client base is supported through a network of offices in more than 40 countries around the globe.
We believe our most valuable asset is our engaged, empowered and diverse workforce. As a global institution, Northern Trust is committed to building upon this diverse talent through encouraging innovative thinking and personal courage in an inclusive environment. Northern Trust’s commitment to diversity and inclusion is evident in our internal initiatives for which we have won several globally recognized awards.
In this technological driven financial world, foundational decision are made and supported by data. Here at Northern Trust to support and implement the data analytics strategy in the Audit Services (AS) department, a new highly visible Data Analytics (DA) team is being formed that will be centralized with a physical presence in Chicago and India. Therefore, Northern Trust is seeking a highly skilled professional to utilize and develop their skills as a Data Analytics Engineer. Responsibilities will consist primarily of working in a highly collaborative team environment to define requirements, perform analysis, and design and build robust data analytics solutions that meet business and department specifications. This will include the use of data staging techniques, Extract Transform Load (ETL) processing, statistical modeling, utilizing advanced analytical tools to create automation with repeatable patterns, recording data governance and linage, and establishing tests across analytical sets to drive data assurance. The Data Analytics Engineer must also be able to communicate well with both business owners and AS professionals to establish and understand concurrent targets from a data perspective.
Major Duties
Analyze and understand Northern Trust’s core business processes and how the data flows end to endStrong knowledge of relational database concepts and structures, data integration techniques, ETL processes, and business analytics best practicesDesign, develop, and implement complex ETL processes utilizing necessary statistical models and toolsDevelop complex queries against normalized and dimensional models using consistent data patternsDevelop necessary cleansed and normalized datasets for complete analysis within business processesCreate analytical datasets that integrate into necessary models and dashboards for analytical insight derivationWork closely with AS partners to analyze and document requirements for analytical solutionsWrite necessary query and extraction code to create datasets required for advanced analyticsUtilize expert problem-solving and analytic skills to rapidly create ad-hoc queries to answer complex business questions or identify data issuesWork in a fast paced environment with ever changing data needs, updating datasets as needed if issues are identifiedCreate, execute, and comprehend AS testing philosophies to drive and support businessExperience & Qualifications
Technical Skills Required:Bachelor’s degree in Computer Science, Information Systems, Statistical Analysis, or equivalent requiredStrong knowledge of relational database concepts and structures, data integration techniques, ETL processes / automation and SQL best practicesExpertise with querying data warehouses, decision support, or ETL tools (e.g., Abintio, Informatica, DataStage, SSRS)Ability to manipulate large amounts of data for analytical projects using appropriate tools (e.g.; SQL, Microsoft Business Intelligence Suite, R, Python, Spark, H2O)5-7 years of experience in designing and coding ETL or architecting and implementing data models
Personal Skills Required:Strong analytical and problem solving skillsKnowledge and understanding of data reporting workflowsHighly developed mathematical skills requiredStrong financial acumen and ability to work across multiple business unitsAbility to foster a positive and collaborative environmentAble to effectively adapt to highly dynamic and fast paced work environmentSense of ownership and urgency, with ability to work both independently and as part of teamHighly organized and able to function with multiple targets in a deadline driven environmentGood oral and written communication skills
Additional Preferred Competencies:Masters in Statistical Analysis, or Business AdministrationExperience and knowledge in supporting or participating within an internal/external audit functionKnowledge in a data quality and profiling tools a plus (e.g., Talend, SSIS, Paxata, Ataccama, Alation)Prior experience with statistical software or other data mining tools (e.g., SPSS, SAS, ODM, Vertica)Experience using BI tools for insight creation and analytic support (e.g., Tableau, PowerBI, COGNOS, Microstrategy, Spotfire)3+ years of experience with data analysis or data automation2+ years of relevant experience developing business intelligence, decision support solutions, or creating reporting visualizations24 Months as a Technical Coordinator /Associate Consultant to move as a Team Leader /ConsultantMovement within TL and Consultant Level will be 12 months
For more than a century, Northern Trust has worked hard building our legacy of outstanding service, expertise and integrity. From a Chicago-based bank founded in 1889, we now have more than 20 international locations and 18,500 employees globally. We serve the world’s most-sophisticated clients – from sovereign wealth funds and the wealthiest individuals and families, to the most-successful hedge funds and corporate brands.
We burnished our reputation as a global leader delivering innovative investment management, asset and fund administration, fiduciary and banking solutions enabled by sophisticated, leading technology. And through it all, we continually laid a solid, forward-looking foundation on which future generations can continue growing and achieving greater.
For more than a century, Northern Trust has worked hard building our legacy of outstanding service, expertise and integrity. From a Chicago-based bank founded in 1889, we now have more than 20 international locations and 18,500 employees globally. We serve the world’s most-sophisticated clients – from sovereign wealth funds and the wealthiest individuals and families, to the most-successful hedge funds and corporate brands.
We burnished our reputation as a global leader delivering innovative investment management, asset and fund administration, fiduciary and banking solutions enabled by sophisticated, leading technology. And through it all, we continually laid a solid, forward-looking foundation on which future generations can continue growing and achieving greater.
As of March 31,2019, Northern Trust Corporation had:
$10.9 trillion in assets under custody/administration
$8.2 trillion in assets under custody
$1.2 trillion in assets under management
$122 billion in banking assets
Visit our Careers Site and Talent Network at http://careers.NorthernTrust.com
Like us on http://Facebook.com/NTcareers and Follow us on Twitter @NTcareers
It is the policy and practice of Northern Trust to provide equal employment opportunities to all employees and applicants. Northern Trust does not discriminate on the basis of race, colour, religion or belief, nationality, ethnic or national origin, sex, marital status, sexual orientation, disability or age. All employment decisions will be made in a non-discriminatory manner in accordance with our obligations under the law and codes of practice. This includes human resources’ decisions relating to recruitment, terms and conditions of employment, transfers, promotions and access to learning and development.
Disclaimer
Northern Trust does not authorize external parties to conduct recruiting events or extend offers of employment on its behalf. It is also not our policy to charge or collect fees of any kind from educational institutions or from candidates for participation in a recruitment event, recruitment process, or to receive offers of employment.
Any person or organization dealing with unauthorized parties, is doing so at their own risk. Northern Trust is not responsible for any losses (monetary or otherwise) that are incurred as a consequence. Northern Trust will also not have any obligation to provide employment to anyone who has been issued a fraudulent offer letter, or to offer any other recourse whatsoever. In order to verify the authenticity of any Northern Trust recruitment event, recruitment process or offer letter you can write to us at talent_acquisition_singapore@ntrs.com.",194
Analytics Consulting-L1-Business Analyst,Wipro LTD,"Bengaluru, Karnataka","Bengaluru, Karnataka3+ years experienceMandatory Skills:
Analytics Consulting-L1
Job Description:
Key skills required for the job are:
Data Science-L1 (Mandatory)
As a Business Analyst, you are responsible for supporting project teams in terms of research and background information. You are expected to elicit and detail the client requirements via industry standard analysis techniques such as data flow modeling, case analysis, workflow analysis, functional decomposition analysis, data modeling, and object modeling. You are expected to documents the results of analysis activities using appropriate templates or tools.
Minimum work experience:3 - 5 Years
Roles & Responsibilities:
Minimum Experience Required: 3-5 YEARSMandatory Skills: Analytics Consulting-L1 Business Analysis, Statistical Analysis, Business Analytics, SAS for Statistics, Statistical ModelingDesirable Skills:
Language Skills: English Language",195
Analytics Consultant,Tredence,"Bengaluru, Karnataka","Bengaluru, Karnataka5+ years experienceTredence is a global analytics services and solutions company. Our capabilities range from Data Visualization, Data Management to Advanced analytics, Big Data and Machine Learning. Our uniqueness is in bringing the right mix of technology and business analytics to create sustainable white-box solutions that are transitioned to our clients at the end of the engagement. We do this cost-effectively using a global execution model leveraging our clients' existing technology and data assets.

We also come in with some strong IP and pre-built analytics solutions in data mining, BI and Big Data.",196
Advanced Analytics Cons,Wells Fargo,"Bengaluru, Karnataka","Bengaluru, Karnataka6+ years experienceWells Fargo & Company (NYSE: WFC) is a leading global financial services company with $2.0 trillion in assets and offices in over 37 countries. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides asset management, capital raising and advisory, financing, foreign exchange, payments, risk management, and trade finance services to support customers who conduct business in the global economy. At Wells Fargo, we want to satisfy our customers’ financial needs and help them succeed financially. We also value the viewpoints of our team members and encourage them to be their best. Join our diverse and inclusive team where you will feel valued and inspired to contribute your unique skills and experience. We are looking for talented people who will put our customers at the center of everything we do. Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you. Learn more at our International Careers website.
Market Job Description
About Enterprise Global Services
Enterprise Global Services (EGS) enables global talent capabilities for Wells Fargo Bank NA., by supporting over half of Wells Fargo's business lines and staff functions across Technology, Business Services, Risk Services and Knowledge Services. EGS operates in Hyderabad, Bengaluru and Chennai in India and in Manila, Philippines. Learn more about EGS at our International Careers website.Department Overview
Knowledge Services brings a Team Member-based approach to the international talent pool focusing on analytical requirements. Knowledge Services (KS), encompasses roles that deliver insights and analysis based on skills, experience and judgment. Team Members exercise this judgment under general direction versus rule-driven processing. Processes and services performed in this area tend to be based on skills, domain knowledge and intellectual capability.
EADS is Wells Fargo’s hub for a distributed, diverse and effective Analytics function. EADS facilitates cross-Enterprise practices, enables innovation and provides foundational capabilities to advance analytic practice and its impact across the Company. The objective of EADS is to mature analytics at Wells Fargo and deliver value through strategically significant partnerships, customer insights, and community leadership:About the Role:
Analytic Consultant/Data Scientist is a partner-facing role and is responsible for delivering high impact analytic and data science projects by using analytics, in support of operational risk initiatives across consumer lending. This role supports analytics requirements for Credit Bureau Oversight and Quality reporting along with reporting for Issues Management.
EADS is the central analytics group tasked with solving high-impact business challenges and standing up cutting-edge analytical capabilities to be shared across Wells Fargo’s analytic community.
We are looking for a high performer to join our team and help us solve challenging and interesting business problems through rigorous data analysis and predictive modeling. In this highly consultative and visible role, you will support development analytic projects from multiple business lines using various technology and techniques ranging from but not limited to supervised, unsupervised and semi-supervised machine learning, deep-learning, NLP, optimization algorithms in both edge nodes and in big data environments (like hortonworks, MapR, Aster etc.)Responsibilities:
Person would be required to work individually or as part of a team on data science projects and work closely with business partners across the organization.
He/she would be developing statistical/machine learning models using various techniques (supervised, unsupervised, semi-supervised) and technologies including but not limited to SAS, R, Python, Spark, H2O, Aster etc.
Work closely with data engineers, BI and UI specialists and deliver top notch analytical solution for the bank.
Market Skills and Certifications
Essential Skills:
BS degree or higher in a quantitative field such as applied math, statistics, engineering, physics, accounting, finance, economics, econometrics, computer sciences, or business/social and behavioral sciences with a quantitative emphasis
6-9 years of experience
Experience with supervise , unsupervised & semi supervise learning
Experience with Deep-learning, Artificial intelligence techniques
Strong programing skill
Expertise in analytic tools : R, Python, Scala, Java, SAS
Big Data skills – Aster, Hadoop, SPARK, H20 and various big data distributions like Hortonworks and MapR
NLP, Text mining, Image/Voice processing, digital analytics, deep learning, machine learning
Data Engineering
Sql ,Teradata, Hadoop, Spark
Exploratory Data analysis
Provide exploratory data analysis using Python/R/SAS / SQL
Experience with Databases like oracle , Teradata, Sql server
Advance Excel skills
Data integration and clean up data for the usage
Experience with structured data and semi-structured text or Excel files
Business Intelligence
Tableau, Power BI, Shiny, Dash, HTML5
Business Analytics
Data mining and Insights
Trend Analysis , forecasting and pattern recognition
Find opportunities in the data and able to communicate to the partners
Consult with partners to define issues/information needs
Present findings to multiple levels of management
Ensure that analyses are delivered on time, while surpassing partner expectations
Ensure partner transparency throughout the life of the project
Proactively seek opportunities to increase the value of analysis
Strong oral and written communication and consultative skills
Have a sense of humor
Desired Skills:
Strong collaboration skills
Output deployment using appropriate technologies (HTML5, Shiny, Django)
Ability to translate analytical data into useful business information
Critical thinking and strong problem solving skills
Ability to learn the business aspects quickly
Ability to multi-task and prioritize between projects
Ability to work independently and as part of a team
We Value Diversity
At Wells Fargo, we believe in diversity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national or ethnic origin, age, disability, religion, sexual orientation, gender identity or any other status protected by applicable law. We comply with all applicable laws in every jurisdiction in which we operate.",197
Data Architect / Sr. Data Analyst - 5 to 10 years experince,Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","Mumbai, Maharashtra<U+20B9>10,00,000 - <U+20B9>20,00,000 a year3+ years experienceJob SummaryAn incredibly rare opportunity for a passionate, aggressive Data Architect, who is a CRM and MIS Specialist to join a well-funded early stage Ed Tech start-up backed by bulge-bracket VCs and an award-winning management team. The founder is highly reputed with a blue-chip pedigree and a history of successful exits. Prototype and Phase 1 has blockbuster results, targeting an immediate $1.1+ Billion market, enabling tremendous upside for a dynamic business analytics leader.Responsibilities and DutiesLead end-to-end data architecture, analytics and structure for a dynamic, fast growing start-up.Part of an agile development team; work on the creation, customization and integration of Data in CRM for the organisationProviding insights and developing strategies for MIS and aligning to business objectives in all stages of product life cycleCoordinate with data users and key stakeholders and develop and achieve various long term objectives for data architecture.Develop database solutions to store and retrieve company informationPreparing internal reports for executive leadership and supporting their decision makingAnalyse data, derive insights and embed it into business intelligence and actionsPreparation of various other reports which provide business insights and are key business drivers**Backed by a reputed founder and 2 of the Top 3 India VCs, this is a once-in-a-lifetime chance to make tremendous wealth while working on a mission for an exceptional data starQualifications and Skills**Graduate/Post Graduate in Computer from premium Institute with advanced skill set in Excel with MySQL and work knowledge in CRM implementation prefereed. This role involves data extraction/seggregation and alignment from scratch. Therefore those willing to approach data with its startup complexity (rather excitement) only need to apply.Proven work experience as a Data Architect, Data Scientist, Data Analyst or similar roleFamiliarity with data visualization tools (e.g. js and R)Data Analytics Visionary; strong in MySQL & Advanced ExcelExperience in CRM across business unitsExperience in the field of Data Analysis, Data Visualisation and Data ValidationStrong in analysing the Data and creating dashboardsStrong in communication, presentation and business intelligenceAggressive: “Take no prisoners” approach. The founder is extremely driven and aggressive, and the Data Architect should have the same all-consuming drive.Systems Thinking: Create strong and accurate data framework to build a rocket-ship.Multi-Dimensional, ""Growth Hacker"" Skill Set with a strong sense of ownership for work.Job Type: Full-timeSalary: <U+20B9>1,000,000.00 to <U+20B9>2,000,000.00 /yearExperience:Data Structure: 3 years (Required)work: 5 years (Required)Data Analysis: 5 years (Required)Education:Bachelor's (Required)Location:Mumbai, Maharashtra (Preferred)",198
Specialist / Assistant Manager - Information Technology - Business Analytics & Reporting,CMA CGM,"Chennai, Tamil Nadu","Chennai, Tamil NaduContract4+ years experienceCMA CGM, founded by Jacques R. Saadé, is a leading worldwide shipping group. Its 504 vessels call more than 420 ports in the world on all 5 continents. In 2017, they carried 18.9 million TEUs (twenty-foot equivalent units).
Now headed by Rodolphe Saadé, CMA CGM enjoys a continuous growth and keeps innovating to offer its customers new maritime, terrestrial, and logistical solutions.
With a presence in 160 countries and through its 755 agencies network, the Group employs more than 30,000 people worldwide, including 2,400 in its headquarters in Marseilles.Responsibilities
Reporting and Analytics
Develop Dashboards based on Qlik Sense / Qlikview at various timelines as decided by Business.
Support Existing Qlik View & Qlik Sense Dashboards.
Develop and Support ETL Packages on SSIS
Database Management which involves Extraction and Consolidation of data from various data sources via SQL, Cognos and Flat Files etc.
Coordinate/Communicate with different Agencies/Departments of CMA-CGM and collect relevant information which is used in the reporting activity
Receive, Analyse and Resolve queries regarding Dashboards/KPI Reports from Global/Internal Stakeholders.
Key Deliverables
Develop and Publish error free Dashboard
Receive, Analyse and Resolve queries raised by user within timelines agreed as per SLA
Continually improve current process w.r.t. turnaround time and create new KPIs or reportsProfile:
Education : Graduate in Computer stream (BSc IT / BCS)
Experience : 4 to 10 years
Must have good hands-on experience in:
Qlik Sense / Qlik View
SSIS or relevant ETL Tool
MS SQL
MS Excel
Should possess good structured problem-solving skills in investigating queries from Agencies and implementing automated solutions
Should possess good analytical skills in reading and interpreting reports
Good Interpersonal skillsCome along on CMA CGM’s adventure",199
Business Analytics Consultants,eXample Consulting Group,India,"India10+ years experienceeXample seeks Consultants who can shape, manage and grow our Business Analytics consulting practice in International market. We look for candidates who have: 10+ years experience in IT User and IT Solutions industries in Data Warehousing, BI, OLAP and Analytics space Have minimum DW / BI project implementation experience, preferably with cross-domain projects Have experience both in Onsite consulting, off-shore delivery models along with Training experience. Excellent client facing, solution consulting , negotiation skills with sharp business acumen Passion to grow the practice by demonstrating thought leadership, practice consolidation, new business development and successful project delivery We have multiple positions open for managing single or multiple DW and BI Products namely, Cognos, Business Objects, MS-OLAP, OSA/OFA, EPB, SAP SEM/BIW, Siebel Analytics, Microstrategy, SAS, Proclarity, Hyperion, Teradata, Ascential, Informatica, Oracle Express, Actuate and Abinito. This role has the potential to move up to Partner level in 3-5 years time with immense upside for financial rewards and a highly satisfying career with total autonomy Apply to the Business Analytics Practice",200
Business Analytics Function Group Manager,Citi,"Bengaluru, Karnataka","Bengaluru, Karnataka8+ years experiencePrimary Location: India,Karnataka,Bangalore
Education: Master's Degree
Job Function: Decision Management
Schedule: Full-time
Shift: Day Job
Employee Status: Regular
Travel Time: Yes, 10 % of the Time
Job ID: 18055262
Description
Head- US Businesses, Director C16
Business / Department Objectives:
Be a key member of the Global Consumer Banking - Global Analytics & Information Management (GAIM) senior leadership team and play a role in defining strategic direction of the group. Be accountable for the success of the entire group in addition to one’s direct area of responsibility. Make talent management an everyday priority; Champion talent management across GAIM. Continually use networking skills to leverage all parts of Citi businesses to enhance the working environment within your group and across GAIM. Communicate with peers to maintain full understanding of entire group. Responsible for analytics service delivery and thought leadership. Ability to successfully manage relationship with senior leaders in the Global Consumer Banking and Analytics Organization
Core Responsibilities:
Set up an interaction model with Business Leaders in North America across Cards, Retail Bank, Citi Commercial Bank and Citi Retail Services.
Drive Global Analytics Projects and Drive synergies across the businesses within North America
Set up interaction models with/ create partnership model with Technology, Business Intelligence and FinTech teams to drive organizational goals
Relationship Management: Interact regularly with senior stakeholders & leadership to set and manage expectations aligned to group capabilities and work to deepen existing relationships
Planning: Participate in formulate site level operating plan. Develop and communicate strategic / operational goals for the team and be a part of the annual planning process for the organization
Talent Management: Drive Talent Development efforts for the business ensuring optimal mobility, retention and development of resources. Own Talent Acquisition (Leadership, skill based and business need based) for the team. Own & Drive Learning and Development for the team by partnering with teams and owning the initiatives for the team
Lead North America Analytics Transformation:
Drive Forward compatibility charter across Talent, tools and technology
Develop next gen talent strategy for the business coverage
Forward compatible recruitment and key talent retention
Work across local vs regional analytics priorities
Day-to-Day Responsibilities:
Engagement Complexity:
Collaborate with the Heads of Analytics of NA Cards, NA Retail & Mortgage and NA Citi Retail Services including Senior GCB Global Leadership
The role has an incremental revenue impact of USD 200-250 MM (shared revenue) and impacts a customer base of close to 100 MM across North America
The role has an impact of USD 4 to 6 Billion Balance Growth and Sales initiatives
Design, develop and deploy regional solutions that can be consistently applied across all products/ team
Evolve business model to direct GAIM interaction with product teams
Provide regular updates to GCB management to ensure alignment with priorities and focus areas
Interact with senior management team including GCB Leadership, Product heads, regional heads, Marketing, product and transformation head etc.
Manage a team of over 250 Advanced analytics resources across products covering the North America, including seasoned Directors, Senior VPs and VPs.
Work Mix and criticality:
Operational Delivery: Engagement & Delivery on key business priorities for NA Cards, NA Retail & Mortgage and NA Citi Retail Services
Business Analytics across assets and liability products to support various growth initiatives
Develop new capability in Digital and Next Gen areas to support the forward compatibility charter for the Products/ Geography
Governance and Controls:
Ensuring compliance with product/ country specific regulatory requirements pertaining to outsourcing and data security
Align info sec policies and control practices in alignment to country and global requirements
Regulatory responsibilities:
Interacts with Model Risk Management, regional and local Business Information Security Office and Internal Audit Teams to ensure compliance across all modeling activities in terms of Model Reviews etc.
Adherence to Country/ Product controls / data governance based on country and regional regulations – Cross border data agreements, PLSD etc.
Financial / Budgetary: No
Percentage of Travel: Yes, 10% of the TimeQualifications
Education & Experience:
15+ years of experience including 10+ years of managerial /operational experience
12+ years of experience in business analytics
Experience applying a variety of advanced analytical tools and methods to business challenges
8+ years of experience managing large analytic teams
Experience attracting top analytic talent
Demonstrated ability to set strategy/direction and follow through on execution while maintaining high levels of quality
Proven track record of exceeding performance expectations and delivering results
Ability to manage, coach and mentor leaders and team members
Master’s degree or equivalent preferred
Skills:
Influencing Senior Regional and Country business managers and Analytics leaders/ stakeholders for new analytical approaches
Cross functional interactions with business, Decision management and technology partners
Manage large, complex and diverse teams across products and geographies
Ability to conceptualize large scale business solutions for products that have significant revenue impact on the organization
Proven track record of exceeding performance expectations and delivering results
Ability to manage, coach and mentor senior leaders and team members",201
Business Transformation - Team Lead,Capgemini,"Bengaluru, Karnataka","Bengaluru, KarnatakaJob Responsibilities
Become part of Global COO’s internal Business services - business analytics team.
Interface with various stakeholders like Portfolio controllers, entity controllers, central finance team, HR and operations department etc for timely data collection.
Track key performance indicators (KPIs) and present them in an understandable manner.
Conduct thorough business performance analysis to enable management to take actionable, data-driven decisions.
Perform detailed gap analysis between Budget Vs Actual Vs Forecast.
Prepare reports and presentation decks from time to time as per management’s requirement.
Develop weekly, monthly, quarterly and yearly management reports.",202
Sr. Sales Analytics Analyst,McAfee,"Bengaluru, Karnataka","Bengaluru, Karnataka8+ years experienceOverall objective is to analyze the sales performance, identify key drivers and metrics of sales growth
Overall sales analytics and management of the sales analysis to ensure specified sales execution and growth achievement objectives
Responsibilities
Responsible for the overall analytics of sales performance
Projects include evaluation of sales goals, sales performance as well as preparing sales forecasts
Collaborates with other company departments, such as product operations / IT to maintain organization-wide data standards
Create executive-level presentations and present sales analytical findings
Drives the development of analytic sales plans supporting sales channel leadership
Ability to deconstruct business risk through analytics, diagnose source issues, define solutions, and ensure action is taken
Understanding of predictive modeling for pipeline, bookings, guided selling and lead prioritization
Qualifications
Work experience
Preferably 8 or more years of experience in financial IT and/or operational analysis
Working experience in software, data mining, business analytics or similar is also preferred
Education
Required education: Bachelor’s degree equivalent with concentration in sales/data analysis, statistics, finance, business or similar discipline
Preferred education: Master’s degree equivalent with a concentration in sales/data analysis, statistics, finance, business or similar discipline
Skills & Competencies required
Good analytical skills and ability to gain insights from sales data
Solid experience in data analysis and reporting
Experience using sales-related software applications (SAP, Anaplan, SFDC etc.)
Knowledge of Excel, R and SQL; familiarity with business intelligence tools (e.g. Tableau, SAS)
Shift:
Shift 1 (India)
Primary Location:
India, Bangalore
Posting Statement:
McAfee prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status.",203
